hooktheory_id,url,title,artist,bpm,key_tonic,mode,genre,chord_complexity,melodic_complexity,chord_melody_tension,chord_progression_novelty,chord_bass_melody
43609066,https://www.hooktheory.com/theorytab/view/maroon-5/daylight,Daylight,Maroon 5,,D,Major,,3,29,71,4,0
84760854,https://www.hooktheory.com/theorytab/view/maroon-5/dont-wanna-know-ft-kendrick-lamar,Don't Wanna Know ft Kendrick Lamar,Maroon 5,,G,Major,,86,19,45,91,73
54195526,https://www.hooktheory.com/theorytab/view/maroon-5/girls-like-you,Girls Like You,Maroon 5,,C,Major,,4,18,45,6,32
66671407,https://www.hooktheory.com/theorytab/view/maroon-5/little-of-your-time,Little Of Your Time,Maroon 5,,A,Major,,100,0,0,77,99
21187564,https://www.hooktheory.com/theorytab/view/maroon-5/lost,Lost,Maroon 5,,G,Minor,,22,57,98,6,26
37405388,https://www.hooktheory.com/theorytab/view/maroon-5/lucky-strike,Lucky Strike,Maroon 5,,,,,20,24,76,5,0
35107110,https://www.hooktheory.com/theorytab/view/maroon-5/makes-me-wonder,Makes Me Wonder,Maroon 5,,B,Minor,,72,56,94,55,58
55449576,https://www.hooktheory.com/theorytab/view/maroon-5/memories,Memories,Maroon 5,,B,Major,,10,20,55,9,45
17815682,https://www.hooktheory.com/theorytab/view/maroon-5/misery,Misery,Maroon 5,,,,,30,72,73,20,16
24853523,https://www.hooktheory.com/theorytab/view/maroon-5/moves-like-jagger,Moves Like Jagger,Maroon 5,,B,Minor,,67,35,23,17,0
27410656,https://www.hooktheory.com/theorytab/view/maroon-5/one-more-night,One more night,Maroon 5,,F,Minor,,25,21,36,16,40
50841512,https://www.hooktheory.com/theorytab/view/maroon-5/payphone,Payphone,Maroon 5,,B,Major,,4,26,88,8,74
74616610,https://www.hooktheory.com/theorytab/view/maroon-5/priceless-ft-lisa,Priceless ft LISA,Maroon 5,,C,Major,,63,68,70,71,25
89733946,https://www.hooktheory.com/theorytab/view/maroon-5/secret,Secret,Maroon 5,,,,,79,66,28,96,90
64537281,https://www.hooktheory.com/theorytab/view/maroon-5/she-will-be-loved,She Will Be Loved,Maroon 5,,,,,32,59,69,28,45
48415484,https://www.hooktheory.com/theorytab/view/maroon-5/shiver,Shiver,Maroon 5,,E,Minor,,78,91,69,74,63
70181331,https://www.hooktheory.com/theorytab/view/maroon-5/sunday-morning,Sunday Morning,Maroon 5,,C,Major,,68,14,61,69,35
2062240,https://www.hooktheory.com/theorytab/view/maroon-5/tangled,Tangled,Maroon 5,,A,Minor,,74,31,32,86,97
85520520,https://www.hooktheory.com/theorytab/view/maroon-5/the-sun,The Sun,Maroon 5,,,,,81,21,45,93,58
27443328,https://www.hooktheory.com/theorytab/view/maroon-5/this-love,This Love,Maroon 5,,C,Minor,,92,85,34,84,72
6763890,https://www.hooktheory.com/theorytab/view/maroon-5/this-summers-gonna-hurt-like-a-motherfucker,This Summer's Gonna Hurt Like a Motherfucker,Maroon 5,,E,Minor,,57,28,64,70,0
10722351,https://www.hooktheory.com/theorytab/view/maroon-5/wake-up-call,Wake Up Call,Maroon 5,,E,Minor,,69,81,69,46,16
86692577,https://www.hooktheory.com/theorytab/view/coldplay/42,42,Coldplay,,F,Minor,,75,62,64,76,27
71860855,https://www.hooktheory.com/theorytab/view/coldplay/a-head-full-of-dreams,A Head Full Of Dreams,Coldplay,,,,,86,45,49,97,0
87267389,https://www.hooktheory.com/theorytab/view/coldplay/a-rush-of-blood-to-the-head,A Rush Of Blood To The Head,Coldplay,,,,,76,7,57,77,15
